"Komentar","Kategori","",""
"banyak itu loh daging nya","Positif","",""
"hah 150 rb mending saya belik daging ayam dapat 4 ekor tempat saya mas.bisa makan rame2","Negatif","",""
"enak cumn kmnisan...kurangin dkit mimin manisnya ku doyannya asin....","Positif","",""
"mending beli gule padang","Negatif","",""
"mangane akeh yoo mbak","Netral","",""
"hslal ga","Netral","",""
"trauma","Negatif","",""
"worth it kalo iga mah","Positif","",""
"ga kenyang segitu mah","Negatif","",""
"hadeh","Negatif","",""
"mending beli daging ayam aja 2kg 67k","Negatif","",""
"mending belinasi padang","Negatif","",""
"dapet 43k murah banget","Positif","",""
"tim pengen tapi ga mampu beli","Netral","",""
"ini kesukaanku...paketq da dtg kak, trmksh🥰🥰🥰","Positif","",""
"segitu mah bisa makan sekampung bukan 4 5 orang lagi🤣🤣🤣","Positif","",""
"oh iya","Netral","",""
"mantap itu apalagi pakai nasi angett","Positif","",""
"sedihnya pas makan bareng kebagian laos 🥺","Negatif","",""
"murah sekali,,,","Positif","",""
"iklan mah ga kaya dapat pas beli...","Negatif","",""
"aku dapat 54k sumpah gak bohong","Positif","",""
"wkwkw apaan nggk sesuai di vt dagingnya kecil woi","Negatif","",""
"kan kan kan jadi pengen co terus ,, aduh bolo bolo 😅","Positif","",""
"tanggung jawab kak aku lg ngidam nih😒","Positif","",""
"Halah isinya cmn 3 pcs dgn ukuran kecil🤣🤣","Negatif","",""
"pengen nyoba tpi lihat komen yg prnh beli ktanya kecil2","Negatif","",""
"mantap maknyus","Positif","",""
"mau dong kirimin tester 1kg","Netral","",""
"itu fotonya dizuum jdi gede kelihanya","Negatif","",""
"hayooo .... gman nie yng bner yng mna kak daging gede2 atau kecil2😅😅😅","Netral","",""
"dagingnya empuk seempuk harganya 🤣🤣🤣","Positif","",""
"tim yg gigi nya ngilu makan daging sapi","Netral","",""
"bener kata guru ngaji saya kalo perempuan itu nyobain makanan satu piring bukan satu suapan😅","Netral","",""
"sudah coba enek sekali 👍","Positif","",""
"yg d Vt gede2...tp kl bl yg dikirim kecil2 n bnyk lemakny","Negatif","",""
"ga sesuai dengan iklan dagingnya kecil ga sesuai dengan iklan","Negatif","",""
"gak enak asin banget rasanya beli 3 ke buang semua","Negatif","",""
"intix g sesuai expetasi dtng asem dn bauh plastik n amis2 enkx cm mkn di tmpat buatx aj lngsung","Negatif","",""
"🤣🤣 Seperti biasa iklan heboh, hasil nya ehemm🤣🤣🙈. mendingan buat ndiri","Negatif","",""
"nyam nyam","Netral","",""
"Yg d Masak daging nya besar2, eeee pas dtg daging nya kecil2.... mana cm sdikit2 lagi🙏🙏🙏🙏","Negatif","",""
"katanya yg datang kebanyakan lemak.. 😂😁✌️","Negatif","",""
"salfok piringnya somplak","Netral","",""
"150beli sapi 2kg udh satu beskom beli bumbu 50k mahal bet lu jual😂🤣","Negatif","",""
"kak makan pakai sendok. hygiene first","Netral","",""
"Ayoo dukung UMKM dr pada beli outlet luar negeri","Netral","",""
"setelah melihat coment2 dari yg sdh order saya memutuskan untuk tidak berbelanja,,,","Negatif","",""
"g jg Segede itu","Negatif","",""
"gmn si org2 pengen daging yg murah, namanya daging mah ya ada harga ada kualitas palagi udh diolah+rasanya enak😂","Positif","",""
"beli langsung di tempatnya bisa gak kak","Netral","",""
"bikin kemasan yg buat icip2","Netral","",""
"mau yg murah aja mba😂","Netral","",""
"gue pecinta pedes & daging aja ga mampu ngabisin 1 porsi buat sekali makan 😭 bnyk bgt woeee","Positif","",""
"yang kerja apa bisa makan sepuasnya?","Netral","",""
"itu juga dikit kog isinya 2 kadang 3","Negatif","",""
"Mba boleh kasih saran ? Tabung gas mya agak jauhan , takutnya kalau tiba2 bocor bisa bahaya 🙂","Netral","",""
"mau yg enak murah","Netral","",""
"aku sekali chek out 4 itu pun kurang😂😂 bocil pda ketagihan","Positif","",""
"kak itu gas nya terlalu Deket","Netral","",""
"info loker nya mbak","Netral","",""
"itu daging sapi / ayam","Netral","",""
"tambahin porsi nya biar puas, 🤭😁emang sesuka dah senagih itu,,😭","Positif","",""
"Serius ini enak bgt daging nya jg besar bgt dr pd di sebelah dagingnya ancur","Positif","",""
"kalau ceode bsa gk bun","Netral","",""
"Tempatnya dmn bolosego","Netral","",""
"mau tanya harga nya dong mba🙏","Netral","",""
"tabung gas nya jangan terlalu deket ka","Netral","",""
"bikin yg daging ayam kak","Netral","",""
"ini enak poll sihhh","Positif","",""
"mana ada si daging murah masaknya aja lama","Netral","",""
"kalau mau order lewat mana kak","Netral","",""
"bagaimana caranya kalau mau beli","Netral","",""
"bolosego menggunakan daging bagian apa ya","Netral","",""
"PO nya lama banget","Negatif","",""
"hah cuma 10 ribu, murah bngt 😭😭","Positif","",""
"murah banget cuma 10 ribu mauuu😭😭😭 sayangnya jauh😞","Positif","",""
"min buat cabang di pekan baru lah min kalo buka cabang di pekan baru pasti saya beli","Positif","",""
"deket bgt dari kampussss","Netral","",""
"plis anterin","Netral","",""
"Murah amat baanggg.. Mauuu 😭","Positif","",""
"kirimin ak tas gucci min ntr aku mampir","Netral","",""
"HUAA BANG PLIS LAH BUKA DI PALEMBANH","Positif","",""
"Bukanya sampe jam berapa kakkk","Netral","",""
"aaaa kasihan aaaa","Negatif","",""
"kak kapan buat live lagi","Netral","",""
"nang ndi mas","Netral","",""
"LAH DEKET BGT SAMA RUMAH GUAA 😭😭 tadi lewat bingung jual apaan, besok deh mampirrr","Positif","",""
"Kak boleh jual nya di parepare di Sulawesi Selatan Kak 😭","Positif","",""
"jauh weh😭","Negatif","",""
"yah semarang😭😭","Negatif","",""
"DIMANAAA MAUUUU","Positif","",""
"MAUUUU","Positif","",""
"DMNNA ITU","Netral","",""
"buka di malang gw borong","Positif","",""
"SPILL LOCCC","Netral","",""
"diabetes : Assalamualaikum 🖐🏼","Negatif","",""
"they look so good??😭😭😭","Positif","",""
"woiii deket bgt tiap hari lewat😭","Positif","",""
"jauh","Negatif","",""
"mauuu😭☝🏻","Positif","",""
"Depan lolypop bukan?","Netral","",""
"buat masnya nih aku udah follow mass janlup bonus nyaa🤩🤩","Positif","",""
"MURAHHH BGTT 😭😭😭","Positif","",""
"buka jam brp kakk?","Netral","",""
"OTW MIN MAUUUK","Positif","",""
"wehh dekett bgtt sama rumah gw 😭😭","Positif","",""
"murah banget bjirr","Negatif","",""
"besok lagi bang, kalo dah masuk kuliah ehehe","Netral","",""
"itu buahnya apa aja selain stroberi","Netral","",""
"udah mampir. recommended 🥰
 masnya ramah banget, katanya kalo balik lagi mau dikasih 10 buah😂","Positif","",""
"WOI MURAH KALI ANJIRRR 😭, disini 30k 😭😭","Positif","",""
"MIMINNN BELOMM BUKA DI BANDUNGG?, KALO ADA AKU MAUU BELIIII","Positif","",""
"tolong buka dikudus","Netral","",""
"kak hari minggu tutup kah ?","Netral","",""
"kak aku udh chek aut 4 enak betttt","Positif","",""
"di Probolinggo ga ada ihhhh🙄","Negatif","",""
"di mana woyy pengen belii😭😭","Positif","",""
"kejauhan 😭","Negatif","",""
"bg ku saranin jangan pake coklat
 nanti kemanisan","Negatif","",""
"aku ngelewatin bang, tapi rame","Negatif","",""
"buka di pangkal pinang bang","Netral","",""
"mahall 😭😢","Negatif","",""
"dimana woii pen beli jauh jg gpp","Positif","",""
"gw bakar marsmelow sampe gosong pas dmkan pahit","Negatif","",""
"aku biasanya kalau makan dimasukin freezer dulu
 enak tauu","Positif","",""
"Buka di jakarta","Netral","",""
"JAAAUHHHH😭","Negatif","",""
"gula semua 😭😭😭","Negatif","",""
"jual dimana","Netral","",""
"njir kalo lu jualan di jkt abis bang, 10 rb segede gt pake fluff jg, murah bgt","Positif","",""
"recomended bangeetttt asliiii abis liat fyp ini tadi langsung gas beli🤩🤩","Positif","",""
"nanti saya kesana kak","Positif","",""
"kakk bisa qrisss gaaaa","Netral","",""
"KALORI","Negatif","",""
"DEKET RUMAHHH GUAA","Netral","",""
"jaoooh😭","Negatif","",""
"KOK NGGA PERNAH LIHATTTTT","Negatif","",""
"minimal buka di Palembang lah supaya gua beli😡😡","Negatif","",""
"lucu deh","Positif","",""
"mallow fluffnya kalau dibiarin di suhu ruangan bakal leleh gak sih? atau dimasukkin ke kulkas?","Netral","",""
"Daritadi merhatiin area nya. Ternyata disambiroto njr. Deket bgt ini mah","Positif","",""
"Nndi cuk iki","Netral","",""
"allahu jauh amay banh d sambiroto🙂","Negatif","",""
"gas warga semarang ramein","Positif","",""
"bang mau dong 10 biji","Positif","",""
"buka cabang dong dibali ga pernah makan itu soalnya dan itu kejauhan 😭","Negatif","",""
"wanginya bener bener wangi (?)😭","Positif","",""
"sambiroto manane? tak tw","Positif","",""
"gatau alamatnya","Netral","",""
"jualnya itu di pasar malam, nanti rame","Netral","",""
"smgnya mana?","Netral","",""
"murah amat 10rb minimal 15rb laa😔","Positif","",""
"jauh males","Negatif","",""
"kgk rugi bang?🙏😞","Netral","",""
"how are you erigo","Netral","",""
"celana jeans erigo udah gak ada ya?","Netral","",""
"ERIGO gk ada obat👍👍👍","Positif","",""
"plis restock celana cargo erigo lagi, gw bru pnya 2 bang😭","Netral","",""
"celana cinos hitam size 28 ada kk","Netral","",""
"itu yg di pake celana denim erigo kah?","Netral","",""
"YANG HITAM KOSONG","Negatif","",""
"Lemari gue full Erigo😂","Positif","",""
"Luntur nggk..??","Netral","",""
"kaos putih gak ada?","Netral","",""
"yg di pake 2xl ada gak","Netral","",""
"Klo sering kena panas jadi kuning warnanya","Negatif","",""
"denim erigo enakkk nyaman banget","Positif","",""
"kemeja erigo ada ga si yg size 4 xl","Netral","",""
"alhamdulillah punya no2 dan no4 😁😁","Positif","",""
"kak eeigo x Freya nya udh habis kah?","Netral","",""
"kirain elmer","Netral","",""
"kak berat badan 80 tinggi 165 pake celam ukuran vrp","Netral","",""
"hoodie nya mana ??","Netral","",""
"abes stok ny kang
 piye toh","Negatif","",""
"SPIL YG WARNA IJO BANG KEMEJA NYA JNGN LUPA TAG MAU CO NI","Netral","",""
"habis no nya ka no 28 di perbanyak lagi ka 🙏","Netral","",""
"udah punya
 T-shirt hitam ,Celana Chino hitam ,
 Hoodie Hitam ,Jaket Hitam ,Crewneck Hitam 👍😁 best","Positif","",""
"hodienya gak ada 😏","Negatif","",""
"jaketnya bg","Netral","",""
"Kalau celana yg dipake itu namanya apa?","Netral","",""
"Iya lagi 😂😂","Netral","",""
"baru aja nyampe celama chino nya warna hitam,suami seneng bngt","Positif","",""
"Ujung hoodie nya ga besi","Negatif","",""
"ak nonton sambil pake erigo","Positif","",""
"KW!!!","Negatif","",""
"Hoodie nya mana kocak","Negatif","",""
"cepet pudar si..","Negatif","",""
"waduh koleb ama JKT GK jadi beli","Negatif","",""
"cepat pudar😂","Negatif","",""
"mukanya kaya duto triadji","Netral","",""
"Erigo apanya Erspro","Netral","",""
"jaket sweaternya ada gak min?","Netral","",""
"kpn restock","Netral","",""
"udah ku beli warna hitamnya terlalu pudar","Negatif","",""
"Bb 95 kg ambil size apa minn??","Netral","",""
"On model size apa ?
 Tb model brpa","Netral","",""
"yg black abis mulu","Negatif","",""
"hijau gelap gaada ?","Netral","",""
"Smngt affiliate semua","Positif","",""
"cakep","Positif","",""
"Bisa buat kado cwoku🥰","Positif","",""
"bb53 tb 67 pake uk berapa","Netral","",""
"Tb 178 Bb 60","Netral","",""
"Restock M","Netral","",""
"waaah baguuus.... cocok buat misua.","Positif","",""
"Buat bb 70 tb 170 pake size apa bang?","Netral","",""
"Beliin buat suami","Positif","",""
"pengen yang warna hitam","Positif","",""
"Aaaa bajunya baguss☺️☺️","Positif","",""
"kalau dibuat versi lengan panjangnya pasti bagus juga","Positif","",""
"mau pesan navi tpi uk L nya udah habis","Negatif","",""
"Black abiss😌","Negatif","",""
"mau navy malah habis🥺","Negatif","",""
"bagus bahanya","Positif","",""
"kalo di cuci bajunya jadi kaya mengkeret gitu ngga kak?dan harus di setrika dulu?","Netral","",""
"Warna beige atau putih bang 🙏🙏🙏🙏","Netral","",""
"itu yang xxl beneran ld 128 kan min gak typo?","Netral","",""
"kak tambahin lagi dong warnanya, mau aku stock karena senyaman dan sebagus itu bajunya","Positif","",""
"mau dong ka","Positif","",""
"kok baru keluar yang hitam😏, sebelumnya gwa udah co dua, asemlah","Negatif","",""
"","","",""
"gak utuh itu, kepalanya gaada","Negatif","",""
"rocket chicken d madura.bangkalan.enk bang","Positif","",""
"Srengat ada?","Netral","",""
"di daerah ku ROCKET CHICKEN paling enak lo","Positif","",""
"nunggu nya brp lama kak","Netral","",""
"di semua cabang udh ada belom ya?","Netral","",""
"ini ayam??","Netral","",""
"ready di semua outlet kah?","Netral","",""
"harganya masih sama kak?","Netral","",""
"pesen lewat grab bisa ga kak?","Netral","",""
"apa bisa DO kak","Netral","",""
"ownernya rocket chicken tetanggaku...ora nya baik bgt","Positif","",""
"enak bgtt beneran huhu","Positif","",""
"yg di srengat kpn ya😌","Negatif","",""
"sampai tanggal berapa kak potongan harganya","Netral","",""
"ka' rocket kapan donk payment ny bisa qris/debet krn tim cashless seringny ga bawa uang cash lebih","Netral","",""
"di Kalimantan tengah udah ada belum yg ayam utuh,kmren cek blum ada 😌 mau banget yg ayam utuh","Negatif","",""
"kak apa bisa menerima pesenan kalo pagi","Netral","",""
"smbel bawangnya enakkk....","Positif","",""
"kirim ke pasuruan bisa kak ?","Netral","",""
"semarang udah ada belum","Netral","",""
"di bandung udah ada blm kak","Netral","",""
"ada disemua cabang kah?","Netral","",""
"Kalo mau sambal bawang + saus apa boleh kak?","Netral","",""
"yg d Mataram udh ada ayam utuh blm ka","Netral","",""
"roket chiken dlu sma sekrng bda dlu klau aku pesen paket cheese level pasti panas+saos levelnya dicelup, yang sekrang beda saos cheese sma saos levelny dipisah kek malh pesen paket roket cuma bda saos","Negatif","",""
"kaka di semua otlite sudah ada kah?","Netral","",""
"nasinya sudah upgrade ukuran belum?
 nasinya kecil bgt trs cuma dikasih setengah cetakan😌","Negatif","",""
"di jakarta adakah??","Netral","",""
"di tuban sudah Ada blum. ya","Netral","",""
"sidoarjo kpn ya ??","Netral","",""
"rc malang udah ada apa belum sih","Netral","",""
"ditempatku ayam utuh yang orijinal cumak 45 ribu mbak😁","Negatif","",""
"semua cabang kah","Netral","",""
"Udah ada di gofood grabfood belum","Netral","",""
"enak dan mantap","Positif","",""
"Cuma dikota aja kak?","Netral","",""
"nayaaaa😭","Negatif","",""
"ayame cilik2","Negatif","",""
"di Cirebon udah ada Lom yaa?","Netral","",""
"di store Jepara ada ngga kak","Netral","",""
"Kmrin pas pulang kejawa blm ada 🥹","Negatif","",""
"nasi nya beli sendiri ya kak itu","Netral","",""
"kalau sama ppn nya berapa total nya ???","Netral","",""
"ada ayam kampung nggk?","Netral","",""
"keren murah 😍😍😍","Positif","",""
"akhirnya ,yg d tunggu²","Positif","",""
"kok ya pas gk dblitar😭","Negatif","",""
"Yang ditunggu"" akhirnya🥰","Positif","",""
"kak kalau outlet di jakarta ada gak ,sama cara mesenya gmn ka","Netral","",""
"alhamdulillah tempatku udah ada.. deket lagi😂","Positif","",""
"semua cabng ada ayam utuh?","Netral","",""
"dijogja kok 90 yah😭","Negatif","",""
"di bogor ada cabang nya ga kak?","Netral","",""
"Di cirebon udh ad blm ya","Netral","",""
"di gofood ud ad blm KA?","Netral","",""
"pingen cobaaan di roket cikhen kandangan ada gk ia","Positif","",""
"ini udah ada di semua outlet kah?","Netral","",""
"aqw pesen di Kabuh kog gak pernah ada steak ayam nya yah....😂😂😂mesti tidak ready","Negatif","",""
"sragen udah ada blum ya","Netral","",""
"Pekalongan belum ada kak😭","Negatif","",""
"murah bgt. di sni 120an😭","Positif","",""
"sudah berburu di sekitar rumah kec. Mranggen g ada kak, menu ayam utuhnya😭","Negatif","",""
"kak sampai seterusnya ada,atau hanya bbrp saat aja? dan pasti selalu ada atau nunggu pesan dulu?","Netral","",""
"itu langsung bisa dipesan apa harus Po dulu kk","Netral","",""
"wui drpd yg onoh 100 lbh 😭😭 @pikcuu @ghinaameliaf","Positif","",""
"please buka cabang di Mojokerto dong🙏","Netral","",""
"rocket chiken bikin babang bali kuta dong min","Netral","",""
"bar gajian pokok tak serang min, wes dari dulu ngangen² pengen mukbang enak bar gajian😂","Positif","",""
"itu sudah sama nasi belum kak","Netral","",""
"berarti mrono langsung ready to min?","Netral","",""
"gak ada kepala y ??","Netral","",""
"Ada timun nya semua itu kak?","Netral","",""
"knp tidak tersedia disemua outlet ya? kesel banget .. pengen nyobain","Negatif","",""
"rocket chicken di tmpat ku sambal ny GK enk ..","Negatif","",""
"Mateng sampai dalam gk kak? Pgn beli takut yang dalem gk mateng merata","Netral","",""
"diskon hanyalah trik marketing😜","Negatif","",""
"kok murah banget segede itu 60k 🗿","Positif","",""
"gilak mahal banget","Negatif","",""
"1 ekor mentah aja gak sampai 40rb, mending masak sendiri aja bisa dibagiin keluarga","Negatif","",""
"rocket chicken disini keras banget tepungnya 🥺","Negatif","",""
"mahal amat, tempat aku cuma 45","Negatif","",""
"seluruh outlet roket kah min","Netral","",""
"yg belum beli fersi utuh.. lebih baik beli yg potong2 aja krn bumbunya lebih merasuk.","Netral","",""
"sambel geprek nya dapet 1 😅 yah Gak enak yah .. kurang banyak","Negatif","",""
"mahalnya, tempatku ayam krispi+sambal geprek+timun cuman 10k 3 potong lumayan gede, kadang 4 tpi lebih kecil, tiap seminggu sekali beli udh rada bosen","Negatif","",""
"berarti ga sesuai eks prestasi...
 tuh ga di piring tuh
 🤣🤣🤣🤣🤣🤣
 .
 yg jelas, biar kualitas yg membuktikan semuanya 👍","Negatif","",""
"beli 1 ekor tapi sambal nya dikit amat 🥺","Negatif","",""
"jombang kaliwungu kah","Netral","",""
"kak di seluruh jombang apa sudah ada?","Netral","",""
"beda 10k
 cuma dikasih timun sama sambal😂😂😂😂","Negatif","",""
"lah seriusan ada yg versi ayamnya aja?aku kemaren beli yg harga 95k (ayam utuh+nasi4+minuman4) enek banget karna kekenyangan...makan be2 :""""(tp enak banget kok+juicy)","Positif","",""
"buset kirain sesui expetasi","Negatif","",""
"barusan beli,enak dlm nya mateng murah lagi🥰","Positif","",""
"gw kira sambelnya dilumurin sepenuhnya ke ayamnya gataunya cuma 1 cup 🗿","Negatif","",""
"iyaa coyyy rill gw pernah beli gde bngett😂","Positif","",""
"Tergantung tempat😂","Netral","",""
"di sini Mateng, jadi punya top ayam
 1. Richeese
 2. Rocket","Positif","",""
"di tempat ku roket ciken ayamnya kecil bettt🥺","Negatif","",""
"Naikin lgi harganya kocak, kemurahan 60 dpet utuh + krispi 🥺","Positif","",""
"di klaten udah ada belom yak","Netral","",""
"Ada outlet yng ayamnya kecil bgt 🫠","Negatif","",""
"di Blitar gak ada 😅","Negatif","",""
"kalau beli yg utuh sambel geprek,trus makan ditempat,minta sambel yg tersedih botolan itu,namba uang lagi apa ngk kira""","Netral","",""
"mentah","Negatif","",""
"sambel geprek 10 RB?","Netral","",""
"yangg harga 75 sambal nya dapatt berapa","Netral","",""
"gk gk","Negatif","",""
"Info Lokasi","Netral","",""
"duh kepengen eyy😁","Positif","",""
"jir","Netral","",""
"mateng sih, tp ga enak menurut gw","Negatif","",""
"lama gorengnya... aku nungguin sejam 😅baru matang","Negatif","",""
"hari minggu dongg😁
 besok senin 💀.","Netral","",""
"rocket chiken knp ga ada di jakarta pusat 😔","Negatif","",""
"njir pengen","Positif","",""
"ini ada di seluruh outlet rocket chicken kah?","Netral","",""
"Kemarin beli ingkung rc sausnya banyak banget kayak serenteng dimasukin kardus🗿","Positif","",""
"singkat, jelas, padat, wareg","Positif","",""
"jujur si roket chiken di cirebon yg enak cuma di palimanan,,,koreksi kak ko bisa rasanya gtu knp kan satu brand ya","Negatif","",""
"ini ada disemua cabang rocket chicken?","Netral","",""
"rocket chicken di kotaku plis begini juga","Netral","",""
"lapar","Netral","",""
"badag pisan","Positif","",""
"gebrakan apalagi ini😳","Positif","",""
"ini menu baru rocket chicken? kok aku pas ke roket chicken di cukir jombang gak ngeliat menu nya ya 🤔","Negatif","",""
"di surabaya ga ada yaaaa😭","Negatif","",""
"malah ke inget Boboiboy kuasa tiga dari Ngawi min 🗿🗿🗿","Netral","",""
"beliii","Positif","",""
"disini kgk ada jual ayam keyak gitu bjir.","Negatif","",""
"semua rocket chicken ada gk ya","Netral","",""
"rocket chiken emg enak wir,harga ramah dikantong juga","Positif","",""
"rocket chicken tempat gw kok rasa biasa aja ya kaya chicken2 pinggir jalan. apa hanya tempat gw aja. yg lain egk.","Negatif","",""
"kenyang ini mah","Positif","",""
"kalo beli bisa request yg gx pake tepung gx min?","Netral","",""
"terbaik","Positif","",""
"Di surabaya gk ada ya?","Netral","",""
"dimana beli nyaa","Netral","",""
"kenapa rocket chicken gak ada di surabaya 😭🫵","Negatif","",""
"ayam rocket chicken aneh rasanya","Negatif","",""
"rocket chicken tepungnya tipis + kurang gurih","Negatif","",""
"Mending di sebelah dapat nasi dapat minum patokan nya sksjdj golop skxkm pom lsn n ulin sudh pasti mantah","Negatif","",""
"di kediri Udah ada belum","Netral","",""
"Kaya hambar gitu ga si ?😅","Negatif","",""
"terkadang ekspektasi tak seindah realita","Negatif","",""
"di tempat dekat saya gak dapat timun","Negatif","",""
"rocket chicken di kutai timur trmpatku enak banget. sambalnya mantab.","Positif","",""
"bebek krispy ga ada tah min","Netral","",""
"sambelnya mana cukup cuma segitu😂
 mending chicken crush","Negatif","",""
"kasih variant saus lain kak biar tmbah oke","Netral","",""
"bonus nya sampai kapan min???","Netral","",""
"mentah","Negatif","",""
"minimal riche s 😁","Negatif","",""
"Enak bgt disini , apalagi cheese level saos keju nya melimpah","Positif","",""
"pas kemaren promo dpt 27k se ekor😭 RC enak sihh","Positif","",""
"Ditempat ku ayam ya keciill..","Negatif","",""
"ditempat aku kok tepungnya ga gitu yaaa tipis bgtt","Negatif","",""
"Enakk banget","Positif","",""
"buset ganti sambel jdi sambel geprek aja nambah 10k","Negatif","",""
"mending beli di Geprek mantul..emangnungguny 30mnt...lahnkalo RC kok 45mnt masih mentah...ada apa coba","Negatif","",""
"langganan kalo ada tasyakuran atau makan2 selalu di rocket chicken peterongan,, rasa gak pernah berubah @rocketchikenjombang1","Positif","",""
"@ddd mending iki ga si tambah sitik intok ayam drpd seblak😭😭😭","Positif","",""
"@nurulatik_rocketchicken mantap terobosan nya pak 😂","Positif","",""
"@Xuyang rocket chiken cuma 65K 1 ekor","Positif","",""
"@mirul cita"" makan ayam tanpa nasi🗿","Netral","",""
"sambel gepreknyaaa kuraaaaanggg banyaaakkkk","Negatif","",""
"tolong liat story ku bang/mba😀","Netral","",""
"size tak sesuai Ama poster","Negatif","",""
"tergantung kokinya emang.. tp emang seenak itu..","Positif","",""
"gw udah coba sekali dan syukurnya gw dapat yang dalamnya mateng","Positif","",""
"gede ayamnya bosku. worth it bgt","Positif","",""
"Info dong, seluruh cabang rocket chicken dah tersedia versi utuh gak?","Netral","",""
"buka dong di Cibinong bogor","Netral","",""
"buset ayam gede bet beli dmn?","Netral","",""
"gede bener ayamnya","Positif","",""
"trauma dalemnya masih basah oh noooo😭😭😭😭😭","Negatif","",""
"mual sendiri anjir ngeliat ayam 1 potong gtu🗿","Negatif","",""
"@eyheriiii @kairul342 @ANISARAPAN komene jere mentah kbeh🤣","Negatif","",""
"gak sesuai ekspektasi, ayamnya gabisa twerking 😳","Negatif","",""
"sudah pasti matang ni😋","Positif","",""
"moh neh","Negatif","",""
"ayo gas gajal @ikaanpausssss 😂","Positif","",""
"ini nanti harganya 65.000 masih ditambah PPN 10% lagi ya?","Netral","",""
"readykan dicabang kabuh ploso jombang kaa","Netral","",""
"Mahal banget, gk worth it, ayam seekor 30k","Negatif","",""
"diskon hanya marketing 😁","Negatif","",""
"Kode Promo Gojek :
 JAJANE7TGUCED
 JAJANR2PM4VT
 JAJANFWCWQTE
 JAJANM6QSMDG","Netral","",""
"sambelnya banyakin dong, buat satu ekor ayam sambelnya dikit","Negatif","",""
"jujur mening ini sih dri pd si merah jual nama doang bukan jual produk","Positif","",""
"krn dia masuk freeser ayamny lgsg proses digoreng...ahhahah kokiny amatiran berarti","Negatif","",""
"yang ngasih plastik di timun nya ngajak gelut","Negatif","",""
"rocket enak banget🥰","Positif","",""
"venom","Netral","",""
"di tunggu beli 1 gratis 1 nya min","Netral","",""
"tempat gw rasanya hambar, kek ga dimarinasi trs juga ayamnya ga seger gitu, apalagi saos cheesenya udah ga seger asem, saus biasanya juga asem ga seger..","Negatif","",""
"mateng merata ga? dagingnya juicy luicy ga?","Netral","",""
"aku jual jg kayak gitu.. kujual 80 sama nasi 3 porsi teh 3 porsi sama sambel merah ijo 3 3 .. masih untung 40 rb an..","Netral","",""
"kbiasaan RC kalo produk baru psti gede2 ... ntar jga bakalan mnciut trus rasanya asin","Negatif","",""
"@mymrw8 asli besar satu ekor 😂","Positif","",""
"pake nasi","Netral","",""
"lezatos harganya juga segitu","Positif","",""
"wah murah banget jangan jangan ayam mati","Negatif","",""
"kalo satu ekor kemana ceker end kepala nya?","Netral","",""
"kalau akk di sini langganan ayam geprek paha atas sii 😂","Positif","",""
"gituan masih ada jeroannya kah? 🗿","Netral","",""
"kemarin beli rasanya nyesel sih, rasanya ga ada bumbunya sumpah. eneg malah","Negatif","",""
"info cabang di mjokerto min gmna sdah ready kahh???","Netral","",""
"seriusss gede segini😳","Positif","",""
"Coba pake saus yg level dan saus keju nya Pasti enak😁","Netral","",""
"itu ayam jenis apa
 potong
 ras
 kedu
 kampung.?","Netral","",""
"sudah pasti pecah😂","Negatif","",""
"pke teh hijau Thailand bkn ka","Netral","",""
"resep teh y kk.. pakek teh apa","Netral","",""
"bagi resep teh Hijau nya kak","Netral","",""
"smangat kak..ak jg jualan es teh hijau😁","Positif","",""
"ka spil cara membuat teh hijau","Netral","",""
"kak gula nya murni ya kk","Netral","",""
"kaka pake cup ukuran brp kak","Netral","",""
"terima kasih kak saya 3hari dah coba jualan Alhamdulillah Laris,Semoga ilmu Nya Mmbwa Keberkahan 🤲🤲🤲","Positif","",""
"teh hijau boso jowome gren tea....","Netral","",""
"beli tepung teh hijau d mana?","Netral","",""
"saya jual teh hijau hampir 2 tahun...","Netral","",""
"Itu 18oz atau 22oz kk ukuran gelas nya","Netral","",""
"Jual brp kk","Netral","",""
"Semoga laris manis. Klo aq minum pake es aja tanpa gula, sueger mantap jiwa.","Positif","",""
"jualan kita sma kk tos🥰","Positif","",""
"bikin toturnya kak siapa tau inspirasi buat jualan juga kak semoga di bikin vt nya🥰","Positif","",""
"pakai teh apa ya kak wrnx hijau GT seger diliatnya","Netral","",""
"bagus tuh pas bulan puasa 😅😅😅","Positif","",""
"teh hijau no gula 👍👍","Positif","",""
"kak mau tanya itu teh nya cuman diseduh air panas ya?kira² berapa lama ya kak, seduhnya?","Netral","",""
"spil kemasan teh hijaunya ka🙏🙏🙏","Netral","",""
"seger","Positif","",""
"Yummy seger banget🤤","Positif","",""
"pure green tea teh fav akuu 😭😭😂","Positif","",""
"penasaran ini suara siapa?","Netral","",""
"@ina_ziezie harus di coba","Positif","",""
"kak sempol nya kita yg bikin atau bagaimana
 terima kasih","Netral","",""
"kak spil pancinya ukuran berapa tingginya?","Netral","",""
"cek harga franchise","Netral","",""
"engap sama suaranya🗿","Negatif","",""
"pingin gabung 😊","Positif","",""
"inovasi sempol 👍👍👍","Positif","",""
"minta maaf mau tanya, kalau mau gabung kemitraan berapa kira kira baget yg di perlukan","Netral","",""
"cara bikin sambal kacang kk?","Netral","",""
"Di aceh sudah ada kak?","Netral","",""
"semangat kk saling bantu support ya kak🥰🥰🥰","Positif","",""
"mau dong ede jualan","Netral","",""
"Sempol level up","Positif","",""
